fecha;mag007;mag008;mag012;mag014
2010-12-05;5.0;28.0;36.0;28.0
2010-12-06;6.0;29.0;39.0;33.0
2010-12-07;6.0;27.0;37.0;42.0
2010-12-08;5.0;28.0;36.0;41.0
2010-12-09;21.0;34.0;66.0;15.0
2010-12-10;30.0;32.0;78.0;22.0
2010-12-11;44.0;31.0;100.0;10.0
2010-12-12;98.0;41.0;191.0;7.0
2010-12-13;127.0;52.0;246.0;6.0
2010-12-14;26.0;34.0;74.0;23.0
2010-12-15;4.0;15.0;21.0;53.0
2010-12-16;39.0;39.0;98.0;32.0
2010-12-17;91.0;63.0;203.0;6.0
2010-12-18;52.0;50.0;129.0;11.0
2010-12-19;7.0;24.0;35.0;32.0
2010-12-20;27.0;43.0;84.0;20.0
2010-12-21;19.0;45.0;73.0;21.0
2010-12-22;7.0;36.0;46.0;38.0
2010-12-23;6.0;25.0;34.0;41.0
2010-12-24;5.0;26.0;34.0;40.0
2010-12-25;6.0;20.0;28.0;42.0
2010-12-26;30.0;35.0;80.0;28.0
2010-12-27;58.0;49.0;137.0;12.0
2010-12-28;59.0;50.0;141.0;10.0
2010-12-29;37.0;43.0;100.0;14.0
2010-12-30;25.0;36.0;74.0;12.0
2010-12-31;12.0;32.0;51.0;19.0
2011-01-01;9.0;25.0;38.0;29.0
2011-01-02;22.0;31.0;64.0;23.0
2011-01-03;73.0;47.0;159.0;11.0
2011-01-04;33.0;41.0;91.0;8.0
2011-01-05;25.0;44.0;82.0;9.0
2011-01-06;5.0;25.0;32.0;31.0
2011-01-07;6.0;29.0;38.0;35.0
2011-01-08;4.0;25.0;32.0;43.0
2011-01-09;5.0;26.0;34.0;42.0
2011-01-10;26.0;39.0;78.0;18.0
2011-01-11;9.0;29.0;42.0;40.0
2011-01-12;101.0;59.0;214.0;13.0
2011-01-13;75.0;45.0;160.0;9.0
2011-01-14;63.0;45.0;141.0;10.0
2011-01-15;31.0;32.0;80.0;18.0
2011-01-16;26.0;33.0;72.0;23.0
2011-01-17;67.0;45.0;148.0;7.0
2011-01-18;47.0;45.0;118.0;10.0
2011-01-19;107.0;56.0;220.0;8.0
2011-01-20;28.0;33.0;76.0;25.0
2011-01-21;4.0;19.0;25.0;57.0
2011-01-22;4.0;18.0;23.0;55.0
2011-01-23;4.0;17.0;23.0;50.0
2011-01-24;22.0;31.0;65.0;37.0
2011-01-25;26.0;41.0;81.0;24.0
2011-01-26;30.0;41.0;87.0;25.0
2011-01-27;19.0;37.0;66.0;17.0
2011-01-28;10.0;35.0;50.0;33.0
2011-01-29;9.0;28.0;42.0;36.0
2011-01-30;10.0;30.0;45.0;29.0
2011-01-31;6.0;23.0;32.0;48.0
2011-02-01;13.0;28.0;48.0;43.0
